Mag_X,Mag_Y,Mag_Z
-1390.0,2882.0,4202.0
-1507.0,2780.0,4250.0
-1590.0,2710.0,4225.0
-1632.0,2610.0,4250.0
-1600.0,2502.0,4325.0
-1580.0,2447.0,4330.0
-1522.0,2345.0,4452.0
-1385.0,2280.0,4512.0
-1187.0,2175.0,4570.0
-1087.0,2180.0,4655.0
-805.0,2152.0,4777.0
-585.0,2462.0,4522.0
-312.0,2097.0,4925.0
-92.0,2142.0,4900.0
230.0,2160.0,4940.0
442.0,2137.0,4980.0
972.0,2147.0,4847.0
1140.0,2225.0,4880.0
1557.0,2255.0,4807.0
1757.0,2355.0,4705.0
2197.0,2417.0,4600.0
2385.0,2442.0,4527.0
2527.0,2542.0,4360.0
2915.0,2660.0,4207.0
3002.0,2720.0,4167.0
3222.0,3040.0,3882.0
3337.0,3155.0,3757.0
3355.0,3210.0,3705.0
3385.0,3515.0,3575.0
3380.0,3645.0,3452.0
3255.0,3862.0,3290.0
3275.0,3980.0,3222.0
3160.0,4232.0,3097.0
3050.0,4405.0,3040.0
2972.0,4642.0,2965.0
2725.0,4835.0,2802.0
2725.0,4835.0,2802.0
2437.0,5162.0,2547.0
2307.0,5260.0,2472.0
2307.0,5260.0,2472.0
1862.0,5650.0,2267.0
1647.0,5805.0,2137.0
1552.0,5947.0,2015.0
1360.0,5952.0,1817.0
1135.0,6065.0,1660.0
1067.0,6110.0,1502.0
805.0,6287.0,1187.0
737.0,6382.0,1147.0
695.0,6407.0,927.0
560.0,6457.0,705.0
517.0,6525.0,345.0
432.0,6535.0,212.0
375.0,6930.0,-222.0
345.0,6605.0,-257.0
345.0,6605.0,-257.0
302.0,6610.0,-517.0
322.0,6665.0,-892.0
335.0,6620.0,-1142.0
335.0,6620.0,-1142.0
335.0,6620.0,-1142.0
432.0,6495.0,-1612.0
537.0,6495.0,-1862.0
